from,to,source
729,1820-12-08,"Th OC-91"
219,1820-12-09,"Th OC-91"
872,1820-12-09,"Th OC-91"
1004,1820-12-10,"Th OC-91"
965,1820-12-10,"Th OC-91"
153,1820-12-10,"Th OC-91"
876,1820-12-11,"Th OC-91"
990,1820-12-11,"Th OC-91"
1803,1820-12-12,"Th OC-91"
1108,1820-12-12,"Th OC-91"
1280,1820-12-12,"Th OC-91"
1266,1820-12-13,"Th OC-91"
1055,1820-12-13,"Th OC-91"
36,1820-12-13,"Th OC-91"
1878,1820-12-14,"Th OC-91"
1596,1820-12-14,"Th OC-91"
1086,1820-12-15,"Th OC-91"
861,1820-12-15,"Th OC-91"
1856,1820-12-16,"Th OC-91"
228,1820-12-16,"Th OC-91"
1108,1820-12-17,"Th OC-91"
1280,1820-12-17,"Th OC-91"
1000,1820-12-17,"Th OC-91"
1470,1820-12-18,"Th OC-91"
225,1820-12-18,"Th OC-91"
147,1820-12-18,"Th OC-91"
544,1820-12-19,"Th OC-91"
932,1820-12-19,"Th OC-91"
1266,1820-12-20,"Th OC-91"
284,1820-12-20,"Th OC-91"
